Family;Genus;Species;Species English
Pomacentridae;Chrysiptera;rollandi;Rolland's Damselfish
Pomacentridae;Chrysiptera;springeri;Springer's Demoiselle
Pomacentridae;Chrysiptera;talboti;Talbot's Demoiselle
Pomacentridae;Chrysiptera;unimaculata;Onespot Damsel
Labridae;Cirrhilabrus;cyanopleura;Bluesided Wrasse
Labridae;Cirrhilabrus;exquisitus;Exquisite Wrasse
Labridae;Cirrhilabrus;lubbocki;Yellowback Wrasse
Labridae;Cirrhilabrus;rubripinnis;Redfin Wrasse
Labridae;Cirrhilabrus;rubriventralis;Longfin fairy Wrasse
Labridae;Cirrhilabrus;ryukyuensis;Ryukyu Faiy-Wrasse
Labridae;Cirrhilabrus;solorensis;Solor Wrasse
Labridae;Cirrhilabrus;tonozukai;Irian Jaya Wrasse
Cirrhitidae;Cirrhitichthys;aprinus;Threadfin Hawkfish
Cirrhitidae;Cirrhitichthys;falco;Dwarf Hawkfish
Cirrhitidae;Cirrhitichthys;oxycephalus;Pixy Hawkfish
Cirrhitidae;Cirrhitus;pinnulatus;Stocky Hawkfish
Cirrhitidae;Cirrhitus;spilotoceps;NA
Blenniidae;Cirripectes;castaneus;Chestnut Blenny
Blenniidae;Cirripectes;filamentosus;Filamentous Blenny
Blenniidae;Cirripectes;imitator;Imitator Blenny
Blenniidae;Cirripectes;polyzona;Barred Blenny
Blenniidae;Cirripectes;springeri;Springers Blenny
Blenniidae;Cirripectes;stigmaticus;Red-Streaked Blenny
Platycephalidae;Cociella;punctata;Spotted Flathead
Congridae;Conger;cinereus;Moustache Conger
Chaetodontidae;Coradion;altivelis;Highfin Coralfish
Chaetodontidae;Coradion;chrysozonus;Orange-Banded Coralfish
Chaetodontidae;Coradion;melanopus;Two-Spot Coralfish
Labridae;Coris;aygula;Clown Coris
Labridae;Coris;batuensis;Batu Coris
Labridae;Coris;caudimacula;Spottail Coris
Labridae;Coris;cuvieri;African Wrasse
Labridae;Coris;dorsomacula;Pale-Barred Coris
Labridae;Coris;gaimard;Yellowtail Coris
Labridae;Coris;pictoides;Pixie Coris
Labridae;Coris;variegata;Dapple Coris
Syngnathidae;Corythoichthys;flavofasciatus;Network Pipefish
Syngnathidae;Corythoichthys;haematopterus;Reeftop Pipefish
Syngnathidae;Corythoichthys;intestinalis;Messmate Pipefish
Syngnathidae;Corythoichthys;nigripectus;Red Sea Pipefish
Syngnathidae;Corythoichthys;ocellatus;Orange-spotted Pipefish
Syngnathidae;Corythoichthys;schultzi;Guilded Pipefish
Carangidae;Craterognathus;plagiotaenia;Barcheek Trevally
Sparidae;Crenidens;crenidens;Karanteen Seabream
Blenniidae;Crossosalarias;macrospilus;Triplespot Blenny
Gobiidae;Cryptocentrus;albidorsus;Whiteback Shrimpgoby
Gobiidae;Cryptocentrus;caeruleomaculatus;Blue-Speckled Shrimpgoby
Gobiidae;Cryptocentrus;caeruleopunctatus;Harlequin Shrimpgoby
Gobiidae;Cryptocentrus;cinctus;Banded Shrimpgoby
Gobiidae;Cryptocentrus;cryptocentrus;Ninebar Shrimpgoby
Gobiidae;Cryptocentrus;cyanospilotus;Black Shrimpgoby
Gobiidae;Cryptocentrus;fasciatus;Barred Shrimpgoby
Gobiidae;Cryptocentrus;inexplicatus;Inexplicable Goby
Gobiidae;Cryptocentrus;leptocephalus;Pink-Spotted Shrimpgoby
Gobiidae;Cryptocentrus;leucostictus;Saddled Shrimpgoby
Gobiidae;Cryptocentrus;lutheri;Luther's Prawn-Goby
Gobiidae;Cryptocentrus;maudae;Maudes Shrimpgoby Ok
Gobiidae;Cryptocentrus;sericus;Ventral-Barred Shrimpgoby
Gobiidae;Cryptocentrus;strigilliceps;Target Shrimpgoby
Acanthuridae;Ctenochaetus;binotatus;Twospot Bristletooth
Acanthuridae;Ctenochaetus;cyanocheilus;Bluelip Bristletooth
Acanthuridae;Ctenochaetus;striatus;Lined Bristletooth
Acanthuridae;Ctenochaetus;tominiensis;Orangetip Bristletooth
Acanthuridae;Ctenochaetus;truncatus;Indian Gold-Ring Bristletooth
Gobiidae;Ctenogobiops;aurocingulus;Gold-Streaked Shrimpgoby
Gobiidae;Ctenogobiops;crocineus;Silverstreak Shrimpgoby
Gobiidae;Ctenogobiops;feroculus;Fierce Shrimpgoby
Gobiidae;Ctenogobiops;maculosus;Silverspot Shrimpgoby
Gobiidae;Ctenogobiops;mitodes;Thread Shrimpgoby
Gobiidae;Ctenogobiops;pomastictus;Gold-Speckled Shrimpgoby
Gobiidae;Ctenogobiops;tangaroai;Tangaroa Shrimpgoby
Diodontidae;Cyclichthys;orbicularis;Orbicular Burrfish
Diodontidae;Cyclichthys;spilostylus;Yellowspotted Burrfish
Platycephalidae;Cymbacephalus;beauforti;Crocodile Flathead
Platycephalidae;Cymbacephalus;bosschei;Smalleyed Flathead
Labridae;Cymolutes;praetextatus;Knife Wrasse
Labridae;Cymolutes;torquatus;Razor Wrasse
Pseudochromidae;Cypho;zaps;Checkered Dottyback
Cirrhitidae;Cyprinocirrhites;polyactis;Lyretail Hawkfish
Dactylopteridae;Dactyloptena;orientalis;Flying Gurnard
Callionymidae;Dactylopus;dactylopus;Fingered Dragonet
Callionymidae;Dactylopus;kuiteri;Orange And Black Dragonet
Pomacentridae;Dascyllus;abudafur;Indian Ocean Humbug
Pomacentridae;Dascyllus;aruanus;Humbug
Pomacentridae;Dascyllus;carneus;Indian Dascyllus
Pomacentridae;Dascyllus;marginatus;Marginate Dascyllus
Pomacentridae;Dascyllus;melanurus;Black-Tailed Dascyllus
Pomacentridae;Dascyllus;reticulatus;Reticulated Dascyllus
Pomacentridae;Dascyllus;trimaculatus;Three-Spot Dascyllus
Carangidae;Decapterus;macarellus;Mackerel Scad
Carangidae;Decapterus;macrosoma;Slender Scad
Scorpaenidae;Dendrochirus;biocellatus;Twinspot Lionfish
Scorpaenidae;Dendrochirus;brachypterus;Dwarf Lionfish
Scorpaenidae;Dendrochirus;hemprichi;Red Sea Dwarf Lionfish
Scorpaenidae;Dendrochirus;zebra;Zebra Lionfish
Gobiesocidae;Diademichthys;lineatus;Urchin Clingfish
Haemulidae;Diagramma;melanacrum;Blackfin Sweetlips
Haemulidae;Diagramma;pictum;Silver Sweetlips
Diodontidae;Diodon;holocanthus;Balloonfish
Diodontidae;Diodon;hystrix;Porcupinefish
Diodontidae;Diodon;liturosus;Blackblotched Porcupinefish
Sparidae;Diplodus;noct;Red Sea Seabream
Callionymidae;Diplogrammus;goramensis;Goram Dragonet
Callionymidae;Diplogrammus;randalli;Randall's Dragonet
Liopropomatidae;Diploprion;bifasciatum;Barred Soapfish
Liopropomatidae;Diploprion;drachi;Yellowfin Soapfish
Labridae;Diproctacanthus;xanthurus;Yellowtail Tubelip
Pomacentridae;Dischistodus;chrysopoecilus;Pale-Spot Damselfish
Pomacentridae;Dischistodus;fasciatus;Banded Damsel
Pomacentridae;Dischistodus;melanotus;Black-Vent Damselfish
Pomacentridae;Dischistodus;perspicillatus;White Damsel
Pomacentridae;Dischistodus;prosopotaenia;Honey-Head Damselfish
Pomacentridae;Dischistodus;pseudochrysopoecilus;Monarch Damselfish
Gobiesocidae;Discotrema;monogrammum;Oneline Clingfish
Syngnathidae;Doryrhamphus;excisus;Bluestripe Pipefish
Syngnathidae;Doryrhamphus;japonicus;Honshu Pipefish
Syngnathidae;Dunckerocampus;boylei;Broad-Banded Pipefish
Syngnathidae;Dunckerocampus;dactyliophorus;Ringed Pipefish
Syngnathidae;Dunckerocampus;multiannulatus;Multibar Pipefish
Syngnathidae;Dunckerocampus;naia;Naia Pipefish
Syngnathidae;Dunckerocampus;pessuliferus;Orange-Banded Pipefish
Echeneidae;Echeneis;naucrates;Sharksucker
Muraenidae;Echidna;nebulosa;Snowflake Moray
Muraenidae;Echidna;polyzona;Barred Moray
Blenniidae;Ecsenius;aroni;Aron's Blenny
Blenniidae;Ecsenius;axelrodi;Clown Blenny
Blenniidae;Ecsenius;bandanus;Banda Blenny
Blenniidae;Ecsenius;bathi;Bath's Blenny
Blenniidae;Ecsenius;bicolor;Bicolor Blenny
Blenniidae;Ecsenius;bimaculatus;Twinspot Blenny
Blenniidae;Ecsenius;dentex;Dentex Blenny
Blenniidae;Ecsenius;gravieri;Red Sea Mimic Blenny
Blenniidae;Ecsenius;lividanalis;Blackass Combtooth Blenny
Blenniidae;Ecsenius;midas;Midas Combtooth Blenny
Blenniidae;Ecsenius;namiyei;Namiye's Combtooth Blenny
Blenniidae;Ecsenius;pictus;Pictus Blenny
Blenniidae;Ecsenius;schroederi;Spoke-Eye Blenny
Blenniidae;Ecsenius;stictus;Great Barrier Reef Blenny
Blenniidae;Ecsenius;stigmatura;Tailspot Blenny
Blenniidae;Ecsenius;trilineatus;Three-Lined Blenny
Blenniidae;Ecsenius;yaeyamaensis;Yaeyama Blenny
Carangidae;Elagatis;bipinnulata;Rainbow Runner
Mugilidae;Ellochelon;vaigiensis;Squaretail Mullet
Bothidae;Engyprosopon;grandisquama;Spot-tail Wide-eye Flounder
Bothidae;Engyprosopon;macrolepis;Largescale Dwarf Flounder
Tripterygiidae;Enneapterygius;abeli;Abel’s Triplefin
Tripterygiidae;Enneapterygius;hemimelas;Halfblack Triplefin
Tripterygiidae;Enneapterygius;qirmiz;Qirmiz Triplefin
Tripterygiidae;Enneapterygius;similis;Masked Triplefin
Labridae;Epibulus;brevis;Latent Slingjaw Wrasse
Labridae;Epibulus;insidiator;Slingjaw Wrasse
Epinephelidae;Epinephelus;areolatus;Aerolate Grouper
Epinephelidae;Epinephelus;bilobatus;Frostback Rockcod
Epinephelidae;Epinephelus;coioides;Orange-Spotted Grouper
Epinephelidae;Epinephelus;corallicola;Coral Grouper
Epinephelidae;Epinephelus;fasciatus;Blacktip Grouper
Epinephelidae;Epinephelus;fuscoguttatus;Brown-Marbled Grouper
Epinephelidae;Epinephelus;hexagonatus;Star-Spotted Grouper
Epinephelidae;Epinephelus;lanceolatus;Giant Grouper
Epinephelidae;Epinephelus;maculatus;Highfin Grouper
Epinephelidae;Epinephelus;malabaricus;Malabar Grouper
Epinephelidae;Epinephelus;merra;Honeycomb Grouper
Epinephelidae;Epinephelus;ongus;Speckled-Fin Grouper
Epinephelidae;Epinephelus;polyphekadion;Camouflage Grouper
Epinephelidae;Epinephelus;quoyanus;Longfin Grouper
Epinephelidae;Epinephelus;summana;Summan Grouper
Epinephelidae;Epinephelus;tauvina;Greasy Grouper
Orectolobidae;Eucrossorhinus;dasypogon;Tasselled Wobbegong
Plotosidae;Euristhmus;lepturus;Longtail Catfish
Pegasidae;Eurypegasus;draconis;Dragon Sea Moth
Scombridae;Euthynnus;affinis;Mackerel Tuna
Gobiidae;Eviota;ancora;Hookcheek Eviota
Gobiidae;Eviota;atriventris;Neon Eviota
Gobiidae;Eviota;bifasciata;Twostripe Eviota
Gobiidae;Eviota;cometa;Comet Eviota
Gobiidae;Eviota;fallax;Twin Eviota
Gobiidae;Eviota;fangi;NA
Gobiidae;Eviota;guttata;Spotted Eviota
Gobiidae;Eviota;latifasciata;Brown-Banded Eviota
Gobiidae;Eviota;marerubrum;Red Sea Eviota
Gobiidae;Eviota;melasma;Headspot Eviota
Gobiidae;Eviota;nigriventris;Blackbelly Eviota
Gobiidae;Eviota;oculopiperita;Pepperminteye Eviota
Gobiidae;Eviota;pictifacies;Paintedface Eviota
Gobiidae;Eviota;prasina;Rubble Eviota
Gobiidae;Eviota;prasites;Red-And-Whitespotted Eviota
Gobiidae;Eviota;punyit;Punyit Eviota
Gobiidae;Eviota;queenslandica;Queensland Eviota
Gobiidae;Eviota;rubrisparsa;Redspeckled Eviota
Gobiidae;Eviota;sebreei;Striped Eviota
Gobiidae;Eviota;shimadai;Shimada's Eviota
Gobiidae;Eviota;sigillata;Sign Eviota
Gobiidae;Eviota;storthynx;Rosy Eviota
Gobiidae;Eviota;teresae;Teresa's Eviota
Gobiidae;Eviota;zebrina;Zebra Eviota
Blenniidae;Exallias;brevis;Leopard Blenny
Gobiidae;Exyrias;akihito;Filamented Goby
Gobiidae;Exyrias;belissimus;Beautiful Goby
Gobiidae;Favonigobius;reichei;Reiche's Goby
Carangidae;Ferdauia;ferdau;Barred Trevally
Apogonidae;Fibramia;ceramensis;
Apogonidae;Fibramia;thermalis;Sangi Cardinalfish
Fistulariidae;Fistularia;commersonii;Bluespotted Cornetfish
Carangidae;Flavocaranx;bajad;Orange-Spotted Trevally
Apogonidae;Foa;fo;Weedy Cardinalfish
Chaetodontidae;Forcipiger;flavissimus;Forcepsfish
Chaetodontidae;Forcipiger;longirostris;Longnose Butterflyfish
Apogonidae;Fowleria;vaiulae;Mottled Cardinalfish
Gobiidae;Fusigobius;duospilus;Twospot Sandgoby
Gobiidae;Fusigobius;gracilis;Slender Sandgoby
Gobiidae;Fusigobius;humeralis;Shoulderspot Goby
Gobiidae;Fusigobius;inframaculatus;Innerspotted Sandgoby
Gobiidae;Fusigobius;longispinus;Orange-spotted Sandgoby
Gobiidae;Fusigobius;maximus;Large Sandgoby
Gobiidae;Fusigobius;melacron;Blacktip Sandgoby
Gobiidae;Fusigobius;neophytus;Neophyte Sandgoby
Gobiidae;Fusigobius;signipinnis;Signalfin Goby
Pomacanthidae;Genicanthus;caudovittatus;Zebra Angelfish
Pomacanthidae;Genicanthus;lamarck;Blackstriped Angelfish
Pomacanthidae;Genicanthus;melanospilos;Blackspot Angelfish
Gerreidae;Gerres;filamentosus;Whipfin Silverbiddy
Gerreidae;Gerres;longirostris;Smallscale Silverbiddy
Gerreidae;Gerres;oblongus;Slender Silverbiddy
Gerreidae;Gerres;oyena;Blacktip Silverbiddy
Gobiidae;Gladiogobius;ensifer;Bandit Goby
Gobiidae;Gladiogobius;rex;King Goby
Carangidae;Gnathanodon;speciosus;Golden Trevally Pilot Fish
Lethrinidae;Gnathodentex;aureolineatus;Striped Large-Eye Bream
Gobiidae;Gnatholepis;anjerensis;Shoulderspot Sandgoby
Gobiidae;Gnatholepis;caudimaculata;Tailspot Sandgoby
Gobiidae;Gnatholepis;cauerensis;Shoulderspot Goby
Gobiidae;Gnatholepis;yoshinoi;Yoshino's Sandgoby
Gobiidae;Gobiodon;bilineatus;Two-lined Coralgoby
Gobiidae;Gobiodon;ceramensis;Ceram Coralgoby
Gobiidae;Gobiodon;citrinus;Lemon Goby
Gobiidae;Gobiodon;okinawae;NA
Gobiidae;Gobiodon;prolixus;Elongate Coralgoby
Labridae;Gomphosus;klunzingeri;Bird Wrasse
Labridae;Gomphosus;varius;Pacific Bird Wrasse
Congridae;Gorgasia;maculata;Common Garden Eel
Congridae;Gorgasia;naeocepaea;Freckled Garden Eel
Congridae;Gorgasia;preclara;Orange-Barred Garden Eel
Congridae;Gorgasia;sillneri;Red Sea Garden Eel
Epinephelidae;Gracila;albomarginata;Masked Grouper
Gobiidae;Grallenia;lipi;Lipi Goby
Scombridae;Grammatorcynus;bilineatus;Double-Lined Mackerel
Grammistidae;Grammistes;sexlineatus;Sixstriped Soapfish
Microdesmidae;Gunnellichthys;curiosus;Curious Wormfish
Microdesmidae;Gunnellichthys;monostigma;Onespot Wormfish
Microdesmidae;Gunnellichthys;viridescens;Orangestriped Wormfish
Lethrinidae;Gymnocranius;grandoculis;Blue-Lined Large-Eye Bream
Lethrinidae;Gymnocranius;griseus;Grey Large-Eye Bream
Lethrinidae;Gymnocranius;superciliosus;Eyebrowed Large-Eye Bream
Muraenidae;Gymnomuraena;zebra;Zebra Moray
Scombridae;Gymnosarda;unicolor;Dogtooth Tuna
Muraenidae;Gymnothorax;albimarginatus;Whitemargin Moray
Muraenidae;Gymnothorax;angusticauda;Narrowtail Moray
Muraenidae;Gymnothorax;buroensis;Vagrant moray
Muraenidae;Gymnothorax;chlamydatus;NA
Muraenidae;Gymnothorax;fimbriatus;Fimbriated Moray Eel
Muraenidae;Gymnothorax;flavimarginatus;Yellow-Margin Moray
Muraenidae;Gymnothorax;griseus;Grey Moray
Muraenidae;Gymnothorax;javanicus;Giant Moray
Muraenidae;Gymnothorax;meleagris;Whitemouth Moray
Muraenidae;Gymnothorax;minor;Minor Moray
Muraenidae;Gymnothorax;nudivomer;Yellowmouth Moray
Muraenidae;Gymnothorax;pictus;Peppered Moray
Muraenidae;Gymnothorax;pindae;Pinda Moray
Muraenidae;Gymnothorax;richardsonii;Richardsons Moray
Muraenidae;Gymnothorax;rueppelliae;Yellow-Headed Moray
Muraenidae;Gymnothorax;thyrsoideus;White-Eyed Moray
Muraenidae;Gymnothorax;undulatus;Undulated Moray
Muraenidae;Gymnothorax;zonipectis;Barred-Fin Moray
Syngnathidae;Halicampus;dunckeri;Duncker's Pipefish
Syngnathidae;Halicampus;macrorhynchus;Winged Pipefish
Syngnathidae;Halicampus;mataafae;Samoan Pipefish
Labridae;Halichoeres;argus;Argus Wrasse
Labridae;Halichoeres;binotopsis;Banded Rainbowfish
Labridae;Halichoeres;biocellatus;Twospot Wrasse
Labridae;Halichoeres;chloropterus;Pastel-Green Wrasse
Labridae;Halichoeres;chrysus;Canary Wrasse
Labridae;Halichoeres;erdmanni;Erdmanns Wrasse
Labridae;Halichoeres;hartzfeldii;Hartzfeld's Wrasse
Labridae;Halichoeres;hortulanus;Checkerboard Wrasse
Labridae;Halichoeres;leucurus;Chain-Lined Wrasse
Labridae;Halichoeres;margaritaceus;Weedy Surge Wrasse
Labridae;Halichoeres;marginatus;Dusky Wrasse
Labridae;Halichoeres;melanochir;Orangefin Wrasse
Labridae;Halichoeres;melanurus;Tailspot Wrasse
Labridae;Halichoeres;melasmapomus;Black-eared Wrasse
Labridae;Halichoeres;nebulosus;Cloud Wrasse
Labridae;Halichoeres;nigrescens;Bubblefin Wrasse
Labridae;Halichoeres;papilionaceus;Seagrass Wrasse
Labridae;Halichoeres;podostigma;Axilspot Wrasse
Labridae;Halichoeres;prosopeion;Twotone Wrasse
Labridae;Halichoeres;richmondi;Richmond's Wrasse
Labridae;Halichoeres;scapularis;Zigzag Wrasse
Labridae;Halichoeres;solorensis;Yellowface Wrasse
Labridae;Halichoeres;zeylonicus;Sri Lankan Wrasse Only
Batrachoididae;Halophyme;diemensis;
Batrachoididae;Halophyme;hutchinsi;
Gobiidae;Hazeus;diacanthus;NA
Tripterygiidae;Helcogramma;steinitzi;Red Triplefin
Tripterygiidae;Helcogramma;striata;Striped Threefin
Pomacentridae;Hemiglyphidodon;plagiometopon;Lagoon Damselfish
Labridae;Hemigymnus;fasciatus;Barred Thicklip
Labridae;Hemigymnus;melapterus;Blackeye Thicklip
Labridae;Hemigymnus;sexfasciatus;Sixbar Thicklip
Hemigaleidae;Hemipristis;elongata;Snaggletooth Shark
Hemiramphidae;Hemiramphus;far;Black-barred Halfbeak
Hemiscyllidae;Hemiscyllium;machaeli;NA
Chaetodontidae;Hemitaurichthys;polylepis;Pyramid Butterflyfish
Chaetodontidae;Heniochus;acuminatus;Longfin Bannerfish
Chaetodontidae;Heniochus;chrysostomus;Pennant Bannerfish
Chaetodontidae;Heniochus;diphreutes;Schooling Bannerfish
Chaetodontidae;Heniochus;intermedius;Red Sea Bannerfish
Chaetodontidae;Heniochus;monoceros;Masked Bannerfish
Chaetodontidae;Heniochus;singularius;Singular Bannerfish
Chaetodontidae;Heniochus;varius;Humphead Bannerfish
Clupeidae;Herklotsichthys;punctatus;Spotback Herring
Clupeidae;Herklotsichthys;quadrimaculatus;Goldspot Herring
Congridae;Heteroconger;hassi;Spotted Garden Eel
Congridae;Heteroconger;perissodon;Manytooth Garden Eel
Congridae;Heteroconger;taylori;Taylors Garden Eel
Syngnathidae;Hippocampus;bargibanti;Bargibanti Pygmy Seahorse
Syngnathidae;Hippocampus;curvicuspis;New Caledonian Thorny Seahorse
Syngnathidae;Hippocampus;denise;Denise's Pygmy Seahorse
Syngnathidae;Hippocampus;histrix;Thorny Seahorse
Syngnathidae;Hippocampus;jayakari;Jayakar's Seahorse
Syngnathidae;Hippocampus;kampylotrachelos;NA
Syngnathidae;Hippocampus;kuda;Estuary Seahorse
Syngnathidae;Hippocampus;pontohi;Weedi Pygmy Seahorse
Syngnathidae;Hippocampus;spinosissimus;Hedgehog Seahorse
Labridae-Sc;Hipposcarus;harid;Indian Ocean Longnose Parrotfish
Blenniidae;Hirculops;cornifer;Highbrow Rockskipper
Labridae;Hologymnosus;annulatus;Ring Wrasse
Labridae;Hologymnosus;doliatus;Pastel Ring Wrasse
Labridae;Hologymnosus;rhodonotus;Redback Ring Wrasse
Malacanthidae;Hoplolatilus;starcki;Starks Tilefish
Atherinidae;Hypoatherina;gobio;
Atherinidae;Hypoatherina;golanii;Red Sea Silverside
Hemiramphidae;Hyporhamphus;affinis;Tropical Halfbeak
Hemiramphidae;Hyporhamphus;dussumieri;Dussumier's Halfbeak
Hemiramphidae;Hyporhamphus;gamberur;Red Sea Halfbeak
Labridae;Iniistius;aneitensis;Whitepatch Razorfish
Labridae;Iniistius;dea;Faint-Barred Razorfish
Labridae;Iniistius;melanopus;Finspot Razorfish
Labridae;Iniistius;naevus;Blemished Razorfish
Labridae;Iniistius;pavo;Peacock Razorfish
Labridae;Iniistius;pentadactylus;Fivefinger Razorfish
Synanceiidae;Inimicus;didactylus;Spiny Devilfish
Synanceiidae;Inimicus;filamentosus;Two-Stick Stingfish
